Nit;Exportador (NIT - Razón social);Kilos Brutos;Kilos Netos;Valor USD;Valor Local;Cantidad;Participación;Valor Unitario FOB;Peso Unitario;Kilos Brutos;Kilos Netos;Valor USD;Valor Local;Cantidad;Participación;Valor Unitario FOB;Peso Unitario;Variacion;Fila
800173274;AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A.;18595000;18595000;12921864,5;56928948152;18595000;56,29152592;0,694910702;0,694910702;19260500;19260500;18678264,8;74995387026;19260500;81,36813593;0,969770504;0,969770504;-30,8187102;1
8600063335;ABONOS COLOMBIANOS S.A.;11411780;11393780;6765227,1;31955443956;11393780;29,47136279;0,59376494;0,59376494;10860309,18;10835550;8800552,92;34870585587;10835550;38,33785386;0,812192544;0,812192544;-23,12724937;2
860020439;MONOMEROS COLOMBO VENEZOLANOS S.A.;2056213;2050045;1561775;7000231892;2050045;6,803561351;0,76182474;0,76182474;1760265;1755000;1608982,5;6364134899;1755000;7,009211411;0,916799145;0,916799145;-2,933997107;3
901210314;ACRON COLOMBIA SAS;2231370;2190320;1321240;5877253710;2190320;5,755718589;0,603217795;0,603217795;;;;;;;;;100;4
901193630;DISTRIBUIDORA ANDINA IMPORT S.A.S;128714,77;127945;139095,1;560637475,2;127945;0,605940066;1,087147602;1,087147602;;;;;;;;;100;5
901016903;SQM COLOMBIA S A S;90280;90000;133200;618066180;90000;0,580259238;1,48;1,48;;;;;;;;;100;6
901596944;C.I. SIBERIA EXPORT S.A.S;107696,08;107477,45;111874,88;496215682;107477,45;0,487360606;1,040914908;1,040914908;;;;;;;;;100;7
890316640;FERCON S. A.;44,07;30,41;969,52;4431588,66;30,41;0,004223521;31,88161789;31,88161789;;;;;;;;;100;8
860002590;BRENNTAG COLOMBIA S.A.;8,46;8;6;25842,12;8;2,61E-05;0,75;0,75;;;;;;;;;100;9
800013455;MICROFERTISA S A;11,52;11,18;5;20931,5;11,18;2,18E-05;0,447227191;0,447227191;543,85;510;1805,4;6722930,46;510;0,007864865;3,54;3,54;-99,72305306;10
